Fecha,Predicción
2014-03-01,323
2014-04-01,473
2014-05-01,462
2014-06-01,91
2014-07-01,735
2014-08-01,675
2014-09-01,668
2014-10-01,678
2014-11-01,528
2014-12-01,624
2014-01-13,867
2014-01-14,1018
2014-01-15,1110
2014-01-16,1109
2014-01-17,1109
2014-01-18,285
2014-01-19,1
2014-01-20,796
2014-01-21,1024
2014-01-22,1109
2014-01-23,1109
2014-01-24,1109
2014-01-25,353
2014-01-26,2
2014-01-27,828
2014-01-28,1258
2014-01-29,1350
2014-01-30,1491
2014-01-31,1600
2014-01-02,674
2014-02-02,326
2014-03-02,548
2014-04-02,738
2014-05-02,886
2014-06-02,892
2014-07-02,807
2014-08-02,655
2014-09-02,814
2014-10-02,873
2014-11-02,676
2014-12-02,974
2014-02-13,1202
2014-02-14,1202
2014-02-15,317
2014-02-16,3
2014-02-17,814
2014-02-18,1052
2014-02-19,1202
2014-02-20,1202
2014-02-21,1202
2014-02-22,313
2014-02-23,2
2014-02-24,811
2014-02-25,1078
2014-02-26,1253
2014-02-27,1329
2014-02-28,1514
2014-01-03,709
2014-02-03,690
2014-03-03,786
2014-04-03,842
2014-05-03,686
2014-06-03,901
2014-07-03,915
2014-08-03,695
2014-09-03,688
2014-10-03,953
2014-11-03,947
2014-12-03,797
2014-03-13,1226
2014-03-14,1226
2014-03-15,329
2014-03-16,3
2014-03-17,831
2014-03-18,1056
2014-03-19,1226
2014-03-20,1226
2014-03-21,1226
2014-03-22,324
2014-03-23,1
2014-03-24,0
2014-03-25,1082
2014-03-26,1276
2014-03-27,1342
2014-03-28,1517
2014-03-29,657
2014-03-30,12
2014-03-31,1439
2014-01-04,616
2014-02-04,796
2014-03-04,850
2014-04-04,927
2014-05-04,727
2014-06-04,707
2014-07-04,934
2014-08-04,898
2014-09-04,929
2014-10-04,1075
2014-11-04,966
2014-12-04,884
2014-04-13,3
2014-04-14,918
2014-04-15,1058
2014-04-16,1226
2014-04-17,0
2014-04-18,2
2014-04-19,295
2014-04-20,2
2014-04-21,834
2014-04-22,1059
2014-04-23,1226
2014-04-24,1226
2014-04-25,1236
2014-04-26,397
2014-04-27,2
2014-04-28,1000
2014-04-29,1438
2014-04-30,1762
2014-01-05,128
2014-02-05,695
2014-03-05,716
2014-04-05,530
2014-05-05,858
2014-06-05,891
2014-07-05,873
2014-08-05,879
2014-09-05,960
2014-10-05,756
2014-11-05,669
2014-12-05,903
2014-05-13,1086
2014-05-14,1226
2014-05-15,1226
2014-05-16,1226
2014-05-17,342
2014-05-18,1
2014-05-19,838
2014-05-20,1057
2014-05-21,1226
2014-05-22,1226
2014-05-23,1226
2014-05-24,360
2014-05-25,2
2014-05-26,849
2014-05-27,1196
2014-05-28,1410
2014-05-29,1489
2014-05-30,1801
2014-05-31,694
2014-01-06,652
2014-02-06,0
2014-03-06,828
2014-04-06,778
2014-05-06,848
2014-06-06,937
2014-07-06,681
2014-08-06,696
2014-09-06,954
2014-10-06,950
2014-11-06,964
2014-12-06,970
